Sr. no.,Product Name,Price,Discount,MRP,Rating,Average Star,Product_Link,Product Image Link,Website
30,"HealthKart HK Vitals Multivitamin with Probiotics - Vitamin C, Vitamin D, Vitamin B, Zinc - 60 Multivitamin Tablets - Supports Immunity and Gut health - For Men and Women",365,27% off,₹499,"2,479 ratings",4.2,https://www.amazon.in/HealthKart-Multivitamin-Probiotics-Supports-Immunity/dp/B08XF3SCYJ/ref=sr_1_39?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-39,https://m.media-amazon.com/images/I/51MABo8MMAL._AC_UL320_.jpg,Amazon
31,"Revital H Multivitamin For Men With Natural Ginseng, Zinc, 10 Vitamins & 8 Minerals For Daily Energy, Stamina & Immunity - 60 Capsules",467,15% off,₹550,"5,261 ratings",4.3,https://www.amazon.in/Revital-8-9013E-12-H-Capsules/dp/B006QQQTHU/ref=sr_1_40?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-40,https://m.media-amazon.com/images/I/71MoI-UoRaS._AC_UL320_.jpg,Amazon
32,"DR. MOREPEN Multivitamins For Women With Calcium & Herbal Extracts|Vitamin-D, Biotin, Iron, Copper, Iodine, Magnesium, Zinc, Green Tea, Pomegranate|Energy & Immunity Booster Supplement-60 Veg Tablets",500,50% off,₹999,115 ratings,4.1,https://www.amazon.in/DR-MOREPEN-Multivitamins-Pomegranate-Supplement/dp/B09CKZG4YT/ref=sr_1_41_mod_primary_new?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=multivitamin+best%2Caps%2C343&sr=8-41,https://m.media-amazon.com/images/I/61tNSAwKjKL._AC_UL320_.jpg,Amazon
33,"Swisse Men’s Multivitamin - 60 Tabs (Australia's No.1 Multivitamin Brand) Increases Immunity, Energy, Stamina & Vitality Production With 36 Herbs, Vitamins & Minerals","1,619",31% off,"₹2,349","1,017 ratings",4.2,https://www.amazon.in/Swisse-Multivitamin-Supplement-Relieving-production/dp/B088KVDZN5/ref=sr_1_42?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-42,https://m.media-amazon.com/images/I/61ZHYaCpciL._AC_UL320_.jpg,Amazon
34,"ZEROHARM Whole Food Multivitamin 60 tablets | Men Multivitamin & Multimineral | Vitamin A, C, D, B12 | Iron, Magnesium, Zinc | Energy, strong bones & muscles, immunity, workout performance",599,29% off,₹849,28 ratings,4.8,https://www.amazon.in/ZEROHARM-Multivitamin-Multimineral-Magnesium-performance/dp/B0B94BJCSV/ref=sr_1_43?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-43,https://m.media-amazon.com/images/I/41hL6Bymf0L._AC_UL320_.jpg,Amazon
35,"Swisse Women’s Multivitamin - 30 Tabs (Australia's No.1 Multivitamin Brand) Increases Immunity, Energy, Stamina, Vitality & Mental Performance With 36 Herbs, Vitamins & Minerals",859,34% off,"₹1,299",682 ratings,4.3,https://www.amazon.in/Swisse-Ultivite-Multivitamin-Vitamins-Performance/dp/B098NZ55LD/ref=sr_1_44?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-44,https://m.media-amazon.com/images/I/61DASENAUwL._AC_UL320_.jpg,Amazon
36,"Carbamide Forte Multivitamin for Men for Immunity & Energy with 67 Ingredients |Multi Vitamins, Minerals, Probiotics, Superfoods, Fruits & Vegetable Blend– 120 Veg Tablets",699,38% off,"₹1,125",170 ratings,4.2,https://www.amazon.in/Carbamide-Forte-Multivitamin-Ingredients-Probiotics/dp/B08H2G218F/ref=sr_1_45?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-45,https://m.media-amazon.com/images/I/71tADyrZ4UL._AC_UL320_.jpg,Amazon
37,"Man Matters Multivitamin gummies For Men | vitamins A, C, D, E, B9 & B12 | Enhances Immunity and Supports Hormone Balance | Pack of 60",499,17% off,₹599,163 ratings,3.9,https://www.amazon.in/Man-Matters-Multivitamin-Enhances-Immunity/dp/B09DQ7WQP6/ref=sr_1_46?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-46,https://m.media-amazon.com/images/I/712ouWa86iL._AC_UL320_.jpg,Amazon
38,"Revital H Multivitamin For Men With Natural Ginseng, Zinc, 10 Vitamins & 8 Minerals For Daily Energy, Stamina & Immunity - 30 Capsules",225,25% off,₹300,"2,513 ratings",4.2,https://www.amazon.in/Revital-H-30-Capsules/dp/B006QQQT9S/ref=sr_1_47?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-47,https://m.media-amazon.com/images/I/71u+XYPBL3S._AC_UL320_.jpg,Amazon
39,"OZiva Daily Women’s Multi, 60 Tablets | Multivitamin for Women with Shatavari, Ashwaganda & Brahmi | Supplements for Supporting, Daily Energy, Hormonal Balance & Stress Management",427,14% off,₹499,152 ratings,4.2,https://www.amazon.in/OZiva-Daily-Womens-Multi-Multivitamin/dp/B09RK7PQ3J/ref=sr_1_48?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-48,https://m.media-amazon.com/images/I/61Kxiw6ByIL._AC_UL320_.jpg,Amazon
40,"HealthKart HK Vitals Multivitamin for Women, With Zinc, Vitamin C, Vitamin D, Multiminerals & Ginseng Extract, Boosts Energy, Stamina & Skin Health, 60 Multivitamin Tablets",399,39% off,₹650,"3,848 ratings",4.2,https://www.amazon.in/HealthKart-Multivitamin-Women-Vegetarian-Tablets/dp/B01N354KTE/ref=sr_1_49?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-49,https://m.media-amazon.com/images/I/51hH94Ot1pL._AC_UL320_.jpg,Amazon
41,"Bigmuscles Nutrition The Real Vitamin Advanced Multivitamin [30 Servings, Chocolate Flavoured] |",189,46% off,₹349,"4,448 ratings",4.1,https://www.amazon.in/Bigmuscles-Nutrition-Multivitamin-Multivitamins-Multiminerals/dp/B08R6NXXWW/ref=sr_1_50?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-50,https://m.media-amazon.com/images/I/61qcp7IZAtL._AC_UL320_.jpg,Amazon
42,"Centrum Men, World's No.1 Multivitamin with Grape seed extract, Vitamin C & 21 other nutrients for Overall Health, Strong Muscles & Immunity (Veg) 30s",451,5% off,₹475,216 ratings,4.2,https://www.amazon.in/Centrum-Multivitamin-extract-nutrients-Immunity/dp/B0BCX2LM47/ref=sr_1_51?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-51,https://m.media-amazon.com/images/I/51+KZ+73QVL._AC_UL320_.jpg,Amazon
43,"Dr Trust Nutrition Kids Multivitamin Gummies with sodium, Vitamin,Pantothenic Acid, Zinc, magnesium and Folate-711",299,63% off,₹800,58 ratings,4.1,https://www.amazon.in/Dr-Trust-Multivitamin-Gummies-Pantothenic/dp/B0968H4DRL/ref=sr_1_52?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-52,https://m.media-amazon.com/images/I/715o-RtkhIL._AC_UL320_.jpg,Amazon
44,"HealthKart HK Vitals Multivitamin and Fish Oil Combo for Women & Men, 60 Multivitamin Tablets & 60 Fish Oil Capsules",719,47% off,"₹1,349","4,318 ratings",4.3,https://www.amazon.in/HealthKart-Vitals-Multivitamin-Capsules-Tablets/dp/B07R9KJPZM/ref=sr_1_53?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-53,https://m.media-amazon.com/images/I/61bUDUMwwtL._AC_UL320_.jpg,Amazon
45,"Boldfit Multivitamin For Men & Women With Probiotics Vitamin C, E, Zinc For Immunity, Biotin, For Healthy Hair, Skin & Nails. Immunity (120 Tablets)",397,43% off,₹699,"5,410 ratings",4.2,https://www.amazon.in/Boldfit-Multivitamin-Tablets-Probiotics-Immunity/dp/B08DG59RPC/ref=sr_1_54?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-54,https://m.media-amazon.com/images/I/61QqJZFDqDL._AC_UL320_.jpg,Amazon
46,"MuscleBlaze Biozyme Daily Multivitamin, 90 Tablets, with US Patent Filed EAF®, Vitamins and Minerals, T Booster, Joint Blend, for Higher Energy & Improved Performance Levels",999,23% off,"₹1,299",125 ratings,4.4,https://www.amazon.in/MuscleBlaze-Multivitamin-Vitamins-Minerals-Performance/dp/B0B4655BQ4/ref=sr_1_55?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-55,https://m.media-amazon.com/images/I/61Ko8UElS-L._AC_UL320_.jpg,Amazon
47,"Supradyn® Immuno +, Multivitamin, Natural immunity booster with Vit C, Vit D, Zinc, Unique blend of Tulsi, Turmeric, Shatavari & Ashoka, 30 Tablets",243,10% off,₹270,55 ratings,4.6,https://www.amazon.in/Supradyn%C2%AE-Multivitamin-immunity-Turmeric-Shatavari/dp/B0BC22V53M/ref=sr_1_56?crid=Y49REFIWQ1II&keywords=multivitamin+best+seller&qid=1672390347&sprefix=multivitamin+best%2Caps%2C343&sr=8-56,https://m.media-amazon.com/images/I/61Z4eqjcBIL._AC_UL320_.jpg,Amazon
