Sr. no.,Product Name,Price,Discount,MRP,Rating,Average Star,Product_Link,Website,Product Image Link
25,"Tata 1mg Women's Multivitamin Veg Tablet with Zinc, Vitamin C, Calcium, Vitamin D and Iron, Support Immunity, Bones & Overall Health",₹242,52% off,₹510,1302 ratings,4.3,https://www.1mg.com/otc/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health-otc695704,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/jv4fjubstbcvlqyimatv/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health.jpg"
26,"Supradyn Daily Multivitamin Tablet with Essential Zinc, 12 Vitamins, 5 Trace Elements for Daily Immunity & Energy",₹51,7% off,₹54.9,2641 ratings,4.5,https://www.1mg.com/otc/supradyn-daily-multivitamin-tablet-with-essential-zinc-12-vitamins-5-trace-elements-for-daily-immunity-energy-otc657862,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/zaoniru9woncxf4acu5z/supradyn-daily-multivitamin-tablet-with-essential-zinc-12-vitamins-5-trace-elements-for-daily-immunity-energy.jpg"
27,Maxirich Multivitamin & Minerals Softgel,₹232,35% off,₹357,528 ratings,4.4,https://www.1mg.com/otc/maxirich-multivitamin-minerals-softgel-otc592631,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/cropped/omz1zuuelyaqnupl0wwe/maxirich-multivitamin-minerals-softgel.png"
28,"Revital Men Multivitamin with Calcium, Zinc & Ginseng for Immunity, Strong Bones & Energy",₹93,15% off,₹110,531 ratings,4.3,https://www.1mg.com/otc/revital-men-multivitamin-with-calcium-zinc-ginseng-for-immunity-strong-bones-energy-otc66304,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/lspuygmjzzwp8xkxaefv/revital-men-multivitamin-with-calcium-zinc-ginseng-for-immunity-strong-bones-energy.jpg"
29,Carbamide Forte Multivitamin with Probiotics & Ashwagandha Tablet,₹599,29% off,₹850,46 ratings,4.2,https://www.1mg.com/otc/carbamide-forte-multivitamin-with-probiotics-ashwagandha-tablet-otc693768,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ba72noylxk35qgj2eg5x/carbamide-forte-multivitamin-with-probiotics-ashwagandha-tablet.jpg"
30,"Blackmores Shine Power D3 Capsule for Healthy Teeth, Stronger Bones & Boosted Immunity",₹1007,28% off,₹1399,NA,NA,https://www.1mg.com/otc/blackmores-shine-power-d3-capsule-for-healthy-teeth-stronger-bones-boosted-immunity-otc687085,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/nq89kt3btuq60dlkvleq/blackmores-shine-power-d3-capsule-for-healthy-teeth-stronger-bones-boosted-immunity.jpg"
31,Evitol Capsule,₹394,13% off,₹453.5,105 ratings,4.5,https://www.1mg.com/otc/evitol-capsule-otc546014,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/fhxqltca0dnm5jtuer1d/evitol-capsule.jpg"
32,Centrum Adult 50+ | Supports Overall Health | World's No.1 Multivitamin,₹740,NA,P₹740,28 ratings,4.7,https://www.1mg.com/otc/centrum-adult-50-supports-overall-health-world-s-no.1-multivitamin-otc772903,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/68a7c0c170d947ed9ba5192a014bd3dd/centrum-adult-50-supports-overall-health-world-s-no.1-multivitamin.jpg"
33,Maxirich Multivitamin & Minerals Softgel,₹71,40% off,₹119,306 ratings,4.3,https://www.1mg.com/otc/maxirich-multivitamin-minerals-softgel-otc147538,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/cropped/rbxu2ons4awj3poppc6u/maxirich-multivitamin-minerals-softgel.png"
34,"Panchamrit Multivitamin Effervescent Tablet with Goodness of Carrot, Spinach & Avocado Orange",₹299,25% off,₹400,NA,NA,https://www.1mg.com/otc/panchamrit-multivitamin-effervescent-tablet-with-goodness-of-carrot-spinach-avocado-orange-otc795089,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/d8a544efae114fd2904776808e345f24/panchamrit-multivitamin-effervescent-tablet-with-goodness-of-carrot-spinach-avocado-orange.jpg"
35,Himalayan Organics Multivitamin with Probiotics Vegetarian Tablet,₹599,37% off,₹955,36 ratings,4.3,https://www.1mg.com/otc/himalayan-organics-multivitamin-with-probiotics-vegetarian-tablet-otc640211,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/6ed03bfb04a142998e8868a819f4fb9f/himalayan-organics-multivitamin-with-probiotics-vegetarian-tablet.jpg"
36,Revital H Woman Tablet,₹113,9% off,₹125,331 ratings,4.4,https://www.1mg.com/otc/revital-h-woman-tablet-otc329471,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/uiipbitqdljceyxoxbc1/revital-h-woman-tablet.jpg"
37,Fytika VITA 365 Tablet,₹699,30% off,₹999,22 ratings,4.6,https://www.1mg.com/otc/fytika-vita-365-tablet-otc775575,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/493f8ceb7c03458ba916c36d99b995f6/fytika-vita-365-tablet.jpg"
38,Hiral Health Pregna 20 Tablet,₹669,25% off,₹899,NA,NA,https://www.1mg.com/otc/hiral-health-pregna-20-tablet-otc789835,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/229531c473c2409eba0844e58ada569b/hiral-health-pregna-20-tablet.jpg"
39,"Zingavita Multivitamins Men with 41 Vitamins, Omega 3 & Herbs Tablet",₹299,66% off,₹899,21 ratings,4.3,https://www.1mg.com/otc/zingavita-multivitamins-men-with-41-vitamins-omega-3-herbs-tablet-otc714243,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/lykfaaparyev1jubxbmm/zingavita-multivitamins-men-with-41-vitamins-omega-3-herbs-tablet.jpg"
40,HealthVit Cenvitan Men Multivitamin & Multimineral Tablet,₹309,38% off,₹500,246 ratings,4.3,https://www.1mg.com/otc/healthvit-cenvitan-men-multivitamin-multimineral-tablet-otc393284,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/a7xr3jsvuophvvsn7yua/healthvit-cenvitan-men-multivitamin-multimineral-tablet.jpg"
41,Health OK Tablet,₹133,11% off,₹150,19 ratings,4.6,https://www.1mg.com/otc/health-ok-tablet-otc711094,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ees5fuu9x2dl4gesyhur/health-ok-tablet.jpg"
42,Health Veda Organics Multivitamin with Probiotics Veg Tablet,₹379,58% off,₹899,NA,NA,https://www.1mg.com/otc/health-veda-organics-multivitamin-with-probiotics-veg-tablet-otc777184,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/1f1cdf16d57b4edfb814030206337f5f/health-veda-organics-multivitamin-with-probiotics-veg-tablet.jpg"
43,"1mg Sports Multivitamin Energy & Immunity Booster Zinc, Vitamin C, Vitamin D, Calcium and Iron Tablet",₹598,50% off,₹1195,118 ratings,4,https://www.1mg.com/otc/1mg-sports-multivitamin-energy-immunity-booster-zinc-vitamin-c-vitamin-d-calcium-and-iron-tablet-otc555751,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/cropped/vjqcbttlwfq8np41ag3c/1mg-sports-multivitamin-energy-immunity-booster-zinc-vitamin-c-vitamin-d-calcium-and-iron-tablet.png"
44,"Zingavita Multivitamins Women with 45 Vitamins, Calcium & Herbal Extracts Tablet",₹299,66% off,₹899,NA,NA,https://www.1mg.com/otc/zingavita-multivitamins-women-with-45-vitamins-calcium-herbal-extracts-tablet-otc714248,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/h2iqtxntjccduiofubnk/zingavita-multivitamins-women-with-45-vitamins-calcium-herbal-extracts-tablet.jpg"
45,A to Z Immune Tablet,₹183,15% off,₹215,63 ratings,4.5,https://www.1mg.com/otc/a-to-z-immune-tablet-otc678388,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/evoefwzy0yndnyyeuj0m/a-to-z-immune-tablet.jpg"
46,Vitaminnica Vita Natal Prenatal Vitamins Veg Capsule,₹1320,20% off,₹1650,NA,NA,https://www.1mg.com/otc/vitaminnica-vita-natal-prenatal-vitamins-veg-capsule-otc811372,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/37eccb4722964157aa3be8021da54c68/vitaminnica-vita-natal-prenatal-vitamins-veg-capsule.jpg"
47,Tata 1mg Calcium & Vitamin D Supplement Tablet,₹81,18% off,₹99,236 ratings,4.4,https://www.1mg.com/otc/tata-1mg-calcium-vitamin-d-supplement-tablet-otc702913,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/d71824667b96449b91be8b6a597cc2df/tata-1mg-calcium-vitamin-d-supplement-tablet.jpg"
48,H-Vit Hair Tablet,₹92,16% off,₹110,44 ratings,4.3,https://www.1mg.com/otc/h-vit-hair-tablet-otc689241,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/vooqqcneaqre8qp6hfby/h-vit-hair-tablet.jpg"
49,Reffron Tablet,₹346,7% off,₹375,47 ratings,4.7,https://www.1mg.com/otc/reffron-tablet-otc677657,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/irxuwwwxzuuqxnspb0ou/reffron-tablet.jpg"
50,WOW Life Science Multivitamin for Men Vegetarian Capsule,₹678,3% off,₹699,NA,NA,https://www.1mg.com/otc/wow-life-science-multivitamin-for-men-vegetarian-capsule-otc789285,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/601750e849cc47748db2a7d73a9ebab4/wow-life-science-multivitamin-for-men-vegetarian-capsule.jpg"
51,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Capsule for Immunity, Energy, Overall Health",₹314,40% off,₹525,100 ratings,4,https://www.1mg.com/otc/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health-otc614280,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/f5quultogobvb7qu1cyp/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health.jpg"
52,Multivite Gold Daily Health Supplement Tabgels,₹227,14% off,₹264,163 ratings,4.2,https://www.1mg.com/otc/multivite-gold-daily-health-supplement-tabgels-otc68370,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/3391fbd09c414b9484a14f04772af87f/multivite-gold-daily-health-supplement-tabgels.jpg"
